,index,Template,Scores
0,28,[lc]-[ns]-[type-iii]-[ans-ii],0.0006453990936279297
1,29,[og]-[ns]-[type-iii]-[ans-ii],0.0006453990936279297
2,24,[lc]-[ns]-[type-ii]-[ans-ii],0.000611722469329834
3,25,[og]-[ns]-[type-ii]-[ans-ii],0.000611722469329834
4,23,[og]-[ns]-[type-ii]-[ans-i],0.000489652156829834
5,22,[lc]-[ns]-[type-ii]-[ans-i],0.000489652156829834
6,11,[og]-[ns]-[type-i]-[ans-iii],0.0004490017890930176
7,10,[lc]-[ns]-[type-i]-[ans-iii],0.0004490017890930176
8,5,[og]-[s]-[type-iii]-[ans-iii],0.00033915042877197266
9,4,[lc]-[s]-[type-iii]-[ans-iii],0.00033915042877197266
10,31,[og]-[ns]-[type-iii]-[ans-iii],0.00030791759490966797
11,30,[lc]-[ns]-[type-iii]-[ans-iii],0.00030791759490966797
12,7,[og]-[ns]-[type-ii]-[ans-iii],0.0002663135528564453
13,6,[lc]-[ns]-[type-ii]-[ans-iii],0.0002663135528564453
14,1,[og]-[s]-[type-iii]-[ans-ii],0.00024902820587158203
15,0,[lc]-[s]-[type-iii]-[ans-ii],0.00024902820587158203
16,3,[og]-[s]-[type-ii]-[ans-ii],0.00018972158432006836
17,16,[lc]-[s]-[type-i]-[ans-ii],0.00018972158432006836
18,17,[og]-[s]-[type-i]-[ans-ii],0.00018972158432006836
19,2,[lc]-[s]-[type-ii]-[ans-ii],0.00018972158432006836
20,34,[lc]-[s]-[type-i]-[ans-iii],0.000186920166015625
21,35,[og]-[s]-[type-i]-[ans-iii],0.000186920166015625
22,13,[og]-[ns]-[type-i]-[ans-ii],0.00013709068298339844
23,12,[lc]-[ns]-[type-i]-[ans-ii],0.00013709068298339844
24,32,[lc]-[s]-[type-ii]-[ans-iii],0.00013113021850585938
25,33,[og]-[s]-[type-ii]-[ans-iii],0.00013113021850585938
26,19,[og]-[s]-[type-i]-[ans-i],0.00012099742889404297
27,18,[lc]-[s]-[type-i]-[ans-i],0.00012099742889404297
28,26,[lc]-[s]-[type-ii]-[ans-i],9.572505950927734e-05
29,27,[og]-[s]-[type-ii]-[ans-i],9.572505950927734e-05
30,15,[og]-[ns]-[type-iii]-[ans-i],7.82012939453125e-05
31,14,[lc]-[ns]-[type-iii]-[ans-i],7.82012939453125e-05
32,9,[og]-[s]-[type-iii]-[ans-i],6.73532485961914e-05
33,8,[lc]-[s]-[type-iii]-[ans-i],6.73532485961914e-05
34,21,[og]-[ns]-[type-i]-[ans-i],4.392862319946289e-05
35,20,[lc]-[ns]-[type-i]-[ans-i],4.392862319946289e-05
